requirement_id,phase_id,table1_phase_label,inspection_item,requirement_statement,expected_condition,target_type,target_ifc_class,evidence_pattern,required_classes,prohibited_classes,evidence_modality,checkability,detectability_tier,regulation_id,regulation_clause,clause_confidence,hold_point,notes
IR-P4-023,P4,Structural supports,Elastomeric bearing disc,"Structural bearings shall be of the specified type and correctly installed to provide the design constraint.",BearingTypeAndSeatingAsDesigned,BearingAssembly,IfcBearing,GeometricConformance,,,Visual,MANUAL,NON_VISUAL,REG-UNI-EN-1337,Structural bearings,HIGH,TRUE,"COVERAGE GAP: no bearing class in the detector vocabulary."
IR-P4-024,P4,Steel bridge assembly,Structural member installation,"Structural members shall be installed in the sequence and configuration required by the design.",AllDesignMembersPresentAtStage,SteelMember,IfcMember,VerifiedAbsence,beams;column,,Visual,AUTOMATIC,MEDIUM,REG-NTC-2018,Cap. 4.2; Cap. 5.1,MEDIUM,FALSE,"BIM-conditioned presence check: the expected member set comes from the model, so a missing member is a verified absence problem. Second regulation REG-EN-1993."
IR-P4-025,P4,Steel bridge assembly,Lifting operations,"Lifting operations shall be planned and carried out safely.",LiftPlanFollowedAndZoneClear,LiftingZone,IfcSpatialZone,VerifiedAbsence,,helmet;vest;boots,Visual,MANUAL,NON_VISUAL,REG-DLGS-81-2008,Titolo IV Capo I; Allegato VI,MEDIUM,FALSE,"COVERAGE GAP: no crane or load class in the detector vocabulary."
IR-P5-026,P5,Deck slab construction,Reinforcement and formwork inspection,"Reinforcement and formwork shall be verified before concrete placement.",VerifiedBeforePour,DeckSlab,IfcSlab,ComponentIntegrity,steel rebar;steel stud,,Visual,AUTOMATIC,FINE,REG-NTC-2018,Cap. 4.1.6,MEDIUM,TRUE,"HOLD POINT with an explicit temporal ordering constraint: the observation must precede the pour activity, which the phase model can enforce."
IR-P5-027,P5,Expansion joint,Expansion joint,"The expansion joint shall prevent water ingress through the deck gap.",JointInstalledAndSealed,ExpansionJoint,IfcBuildingElementProxy,GeometricConformance,,,Visual,MANUAL,NON_VISUAL,REG-ETAG-032,ETA approval,MEDIUM,FALSE,"COVERAGE GAP: no expansion-joint class in the detector vocabulary."
IR-P5-028,P5,Utility,Utility protection measures,"Utilities shall be protected and reinstated in accordance with the approved relocation plans.",ReinstatementMatchesApprovedPlan,UtilityRun,IfcDistributionElement,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-PROJ-SPEC,Approved relocation plans,HIGH,TRUE,"Concealed after backfill; as-built survey is the only durable evidence. Second regulation REG-DLGS-81-2008."
IR-P6-029,P6,Road pavement,Pavement geometry and surface condition,"Pavement geometry and surface condition shall comply with the roadway design.",GeometryWithinDesignTolerance,PavementSurface,IfcCourse,GeometricConformance,,,Geometric,ASSISTED,MEDIUM,REG-NTC-2018,Cap. 5.1,MEDIUM,FALSE,"Verified from the registered point cloud against the design surface, including the 32 cm raised profile and the 5% / 3.5% ramp slopes."
IR-P6-030,P6,Road pavement,Deck waterproofing,"Concrete surfaces subject to traffic shall be waterproofed with a reinforced bituminous sheath.",WaterproofingLayerInstalledBeforeSurfacing,DeckSlab,IfcCovering,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-EN-14695-2010,Reinforced bitumen sheets,HIGH,TRUE,"HOLD POINT: concealed by the wearing course. Photographic evidence must be timestamped before surfacing."
IR-P6-031,P6,Road pavement,Road paving material,"The bitumen binder shall meet the specified characteristics.",BinderCharacteristicsConform,PavementMaterial,IfcMaterial,MaterialTestConformance,,,MaterialTest,MANUAL,NON_VISUAL,REG-ANAS-CSA,Binder characteristics,MEDIUM,FALSE,""
IR-P6-032,P6,Guardrail installation,Presence and continuity of barriers,"Roadside safety barriers shall be installed with the required class and without discontinuity.",ContinuousRestraintSystemAlongAlignment,RoadRestraintSystem,IfcRailing,SpatialCompleteness,barrier;traffic barrier,,Visual,AUTOMATIC,MEDIUM,REG-UNI-EN-1317,Road restraint systems,HIGH,FALSE,"FLAGSHIP CASE. Continuity is a coverage predicate over the whole alignment: the requirement is unsatisfiable from evidence unless observed coverage approaches 1."
IR-P6-033,P6,Final works,Pedestrian protection systems,"Handrails and pedestrian safety barriers shall be installed.",ParapetInstalledAlongPedestrianRoute,PedestrianParapet,IfcRailing,SpatialCompleteness,barrier;fence,,Visual,AUTOMATIC,MEDIUM,REG-UNI-EN-1317,Road restraint systems,MEDIUM,FALSE,"Second regulation REG-DLGS-81-2008."
IR-P6-034,P6,Project completion,Site restoration and removal of temporary works,"All temporary structures and barriers shall be removed and the site restored.",NoTemporaryWorksRemaining,SiteArea,IfcSite,VerifiedAbsence,,barricade;container;fence;traffic barrier,Visual,AUTOMATIC,COARSE,REG-DLGS-81-2008,Titolo IV Capo I,MEDIUM,FALSE,"FLAGSHIP CASE. A purely negative requirement: satisfied only by verified absence over the whole site, which is the hardest thing for an open-world detector to establish."
